participant,learningDirection,startingPoint,imaginedDirection,condition,trialType,trialOrder,trialNumber,facingObject,facingObjectLocation,targetObject,targetObjectLocation,latency,horizontalCorrectAngle,horizontalResponseAngle,horizontalError,horizontalAbsError,verticalCorrectAngle,verticalResponseAngle,verticalError,verticalAbsError
5,0,1,90,1,Misaligned,0,1,plant,Bottom,lamp,Bottom,9.580874,180,53.79999,-126.2,126.2,-1.339294,-6.400024,-5.06073,5.06073
5,0,1,90,1,Misaligned,0,2,lamp,Bottom,plant,Bottom,0.004421234,180,53.79999,-126.2,126.2,-1.318794,-6.400024,-5.08123,5.08123
5,0,1,90,1,Misaligned,0,3,plant,Bottom,soccerball,Bottom,0.001396179,-90,56.59995,146.5999,146.5999,1.583237,-6.000053,-7.58329,7.58329
5,0,1,90,1,Misaligned,0,4,soccerball,Bottom,dumbbell,Bottom,0.003606796,180,56.59995,-123.4001,123.4001,0.6912689,-6.000053,-6.691322,6.691322
5,0,1,90,1,Misaligned,0,5,dumbbell,Bottom,soccerball,Bottom,0.005182266,180,65.99993,-114.0001,114.0001,1.583237,-4.400017,-5.983253,5.983253
5,0,1,90,1,Misaligned,0,6,lamp,Bottom,dumbbell,Bottom,0.0004138947,-90,65.99993,155.9999,155.9999,0.6912689,-4.400017,-5.091286,5.091286
5,0,1,90,1,Misaligned,0,7,plant,Bottom,dumbbell,Bottom,0.005039215,90,65.99993,-24.00006,24.00006,0.6912689,-4.400017,-5.091286,5.091286
5,0,1,90,1,Misaligned,0,8,dumbbell,Bottom,plant,Bottom,0.005044937,-90,65.99993,155.9999,155.9999,-1.318794,-4.400017,-3.081223,3.081223
5,0,1,90,1,Misaligned,0,9,soccerball,Bottom,lamp,Bottom,0.002500534,-90,65.99993,155.9999,155.9999,-1.339294,-4.400017,-3.060722,3.060722
5,0,1,90,1,Misaligned,0,10,soccerball,Bottom,plant,Bottom,0.008094788,90,65.99993,-24.00006,24.00006,-1.318794,-4.400017,-3.081223,3.081223
5,0,1,90,1,Misaligned,0,11,lamp,Bottom,soccerball,Bottom,0.003923416,90,65.99993,-24.00006,24.00006,1.583237,-4.400017,-5.983253,5.983253
5,0,1,90,1,Misaligned,0,12,dumbbell,Bottom,lamp,Bottom,0.004348755,90,65.99993,-24.00006,24.00006,-1.339294,-4.400017,-3.060722,3.060722
5,0,1,90,1,Misaligned,0,13,apple,Top,book,Top,0.002326965,-180,65.99993,-114.0001,114.0001,-1.468376,-4.400017,-2.931641,2.931641
5,0,1,90,1,Misaligned,0,14,book,Top,fan,Top,0.0003395081,-90,65.99993,155.9999,155.9999,-1.49926,-4.400017,-2.900757,2.900757
5,0,1,90,1,Misaligned,0,15,apple,Top,fan,Top,0.003913879,90,65.99993,-24.00006,24.00006,-1.49926,-4.400017,-2.900757,2.900757
5,0,1,90,1,Misaligned,0,16,book,Top,drink bottle,Top,0.001548767,90,65.99993,-24.00006,24.00006,-1.447792,-4.400017,-2.952225,2.952225
5,0,1,90,1,Misaligned,0,17,apple,Top,drink bottle,Top,0.005817413,-90,65.99993,155.9999,155.9999,-1.447792,-4.400017,-2.952225,2.952225
5,0,1,90,1,Misaligned,0,18,drink bottle,Top,apple,Top,0.008480072,90,65.99993,-24.00006,24.00006,-1.684509,-4.400017,-2.715508,2.715508
5,0,1,90,1,Misaligned,0,19,drink bottle,Top,book,Top,0.002632141,-90,65.99993,155.9999,155.9999,-1.468376,-4.400017,-2.931641,2.931641
5,0,1,90,1,Misaligned,0,20,book,Top,apple,Top,0.007022858,180,65.99993,-114.0001,114.0001,-1.684509,-4.400017,-2.715508,2.715508
5,0,1,90,1,Misaligned,0,21,drink bottle,Top,fan,Top,0.01306915,-180,65.99993,-114.0001,114.0001,-1.49926,-4.400017,-2.900757,2.900757
5,0,1,90,1,Misaligned,0,1,dumbbell,Bottom,soccerball,Bottom,2.521913,180,-25.59999,154.4,154.4,1.583237,-2.200027,-3.783264,3.783264
5,0,1,90,1,Misaligned,0,2,dumbbell,Bottom,plant,Bottom,0.004519463,-90,-25.59999,64.40002,64.40002,-1.318794,-2.200027,-0.8812332,0.8812332
5,0,1,90,1,Misaligned,0,3,dumbbell,Bottom,lamp,Bottom,0.003083229,90,-25.59999,-115.6,115.6,-1.339294,-2.200027,-0.860733,0.860733
5,0,1,90,1,Misaligned,0,4,soccerball,Bottom,lamp,Bottom,0.005753517,-90,-25.59999,64.40002,64.40002,-1.339294,-2.200027,-0.860733,0.860733
5,0,1,90,1,Misaligned,0,5,lamp,Bottom,soccerball,Bottom,0.003155708,90,-25.59999,-115.6,115.6,1.583237,-2.200027,-3.783264,3.783264
5,0,1,90,1,Misaligned,0,6,plant,Bottom,soccerball,Bottom,0.004080772,-90,-25.59999,64.40002,64.40002,1.583237,-2.200027,-3.783264,3.783264
5,0,1,90,1,Misaligned,0,7,plant,Bottom,dumbbell,Bottom,0.0005598068,90,-25.59999,-115.6,115.6,0.6912689,-2.200027,-2.891296,2.891296
5,0,1,90,1,Misaligned,0,8,lamp,Bottom,plant,Bottom,0.003316879,180,-25.59999,154.4,154.4,-1.318794,-2.200027,-0.8812332,0.8812332
5,0,1,90,1,Misaligned,0,9,plant,Bottom,lamp,Bottom,0.007070541,180,-25.59999,154.4,154.4,-1.339294,-2.200027,-0.860733,0.860733
5,0,1,90,1,Misaligned,0,10,soccerball,Bottom,plant,Bottom,0.00390625,90,-25.59999,-115.6,115.6,-1.318794,-2.200027,-0.8812332,0.8812332
5,0,1,90,1,Misaligned,0,11,soccerball,Bottom,dumbbell,Bottom,0.005691528,180,-25.59999,154.4,154.4,0.6912689,-2.200027,-2.891296,2.891296
5,0,1,90,1,Misaligned,0,12,lamp,Bottom,dumbbell,Bottom,0.0008239746,-90,-25.59999,64.40002,64.40002,0.6912689,-2.200027,-2.891296,2.891296
5,0,1,90,1,Misaligned,0,13,apple,Top,book,Top,0.003997803,180,-25.59999,154.4,154.4,-1.468376,-2.200012,-0.731636,0.731636
5,0,1,90,1,Misaligned,0,14,book,Top,apple,Top,0.004163742,-180,-25.59999,154.4,154.4,-1.684509,-2.200012,-0.5155029,0.5155029
5,0,1,90,1,Misaligned,0,15,book,Top,drink bottle,Top,0.00554657,90,-25.59999,-115.6,115.6,-1.447792,-2.200012,-0.7522202,0.7522202
5,0,1,90,1,Misaligned,0,16,apple,Top,drink bottle,Top,0.001163483,-90,-25.59999,64.40002,64.40002,-1.447792,-2.200012,-0.7522202,0.7522202
5,0,1,90,1,Misaligned,0,17,drink bottle,Top,fan,Top,0.001113892,180,-25.59999,154.4,154.4,-1.49926,-2.200012,-0.7007523,0.7007523
5,0,1,90,1,Misaligned,0,18,book,Top,fan,Top,0.003242493,-90,-25.59999,64.40002,64.40002,-1.49926,-2.200012,-0.7007523,0.7007523
5,0,1,90,1,Misaligned,0,19,drink bottle,Top,apple,Top,0.005184174,90,-25.59999,-115.6,115.6,-1.684509,-2.200012,-0.5155029,0.5155029
5,0,1,90,1,Misaligned,0,20,apple,Top,fan,Top,0.003433228,90,-25.59999,-115.6,115.6,-1.49926,-2.200012,-0.7007523,0.7007523
5,0,1,90,1,Misaligned,0,21,drink bottle,Top,book,Top,0.002269745,-90,-25.59999,64.40002,64.40002,-1.468376,-2.200012,-0.731636,0.731636
5,0,1,90,1,Misaligned,0,1,lamp,Bottom,soccerball,Bottom,1.762029,90,-32.79996,-122.8,122.8,1.583237,-1.200012,-2.783249,2.783249
5,0,1,90,1,Misaligned,0,2,soccerball,Bottom,lamp,Bottom,0.001264572,-90,-31.99998,58.00002,58.00002,-1.339294,-2.400009,-1.060715,1.060715
5,0,1,90,1,Misaligned,0,3,plant,Bottom,lamp,Bottom,5.035936,180,-21.40004,158.6,158.6,-1.339294,-1.200012,0.1392822,0.1392822
5,0,1,90,1,Misaligned,0,4,dumbbell,Bottom,lamp,Bottom,0.002380371,90,-21.40004,-111.4,111.4,-1.339294,-1.200012,0.1392822,0.1392822
5,0,1,90,1,Misaligned,0,5,plant,Bottom,dumbbell,Bottom,0.002637863,90,-21.40004,-111.4,111.4,0.6912689,-1.200012,-1.891281,1.891281
5,0,1,90,1,Misaligned,0,6,plant,Bottom,soccerball,Bottom,0.003358841,-90,-21.40004,68.59996,68.59996,1.583237,-1.200012,-2.783249,2.783249
5,0,1,90,1,Misaligned,0,7,dumbbell,Bottom,soccerball,Bottom,0.00302124,180,-21.40004,158.6,158.6,1.583237,-1.200012,-2.783249,2.783249
5,0,1,90,1,Misaligned,0,8,dumbbell,Bottom,plant,Bottom,1.92742,-90,-46.39994,43.60006,43.60006,-1.318794,-2.400009,-1.081215,1.081215
5,0,1,90,1,Misaligned,0,9,soccerball,Bottom,dumbbell,Bottom,0.006006241,180,-46.39994,133.6001,133.6001,0.6912689,-2.400009,-3.091278,3.091278
5,0,1,90,1,Misaligned,0,10,lamp,Bottom,dumbbell,Bottom,15.49807,-90,81.0001,171.0001,171.0001,0.6912689,2.399902,1.708633,1.708633
5,0,1,90,1,Misaligned,0,11,lamp,Bottom,plant,Bottom,0.0008583069,180,88.80009,-91.19992,91.19992,-1.318794,2.19986,3.518654,3.518654
